UGC,Gini,e_Gini,M20,e_M20,C,e_C,A,e_A,S,e_S,Ell,e_Ell,GM,e_GM,Axy,e_Axy,Simbad,NED,_RA,_DE
08711,0.627,0.008,-1.478,0.083,9.297,0.338,0.807,0.274,0.279,0.011,0.578,0.006,0.518,0.005,1.414,0.017,Simbad,NED,206.60254,46.10741
08805,0.477,0.007,-1.32,0.041,6.864,0.229,1.224,0.078,0.352,0.004,0.28,0.006,0.484,0.003,1.385,0.014,Simbad,NED,208.32439,33.49076
08837,0.66,0.004,-1.179,0.079,7.913,0.447,0.896,0.162,0.234,0.004,0.498,0.006,0.547,0.01,1.414,0.028,Simbad,NED,208.69067,53.90075
08863,0.557,0.005,-1.074,0.029,5.43,0.173,0.814,0.146,0.142,0.013,0.476,0.007,0.484,0.003,1.414,0.015,Simbad,NED,209.06946,47.23556
08900,0.584,0.009,-1.354,0.097,7.951,0.557,1.617,0.117,0.352,0.016,0.358,0.01,0.506,0.013,1.414,0.024,Simbad,NED,209.65808,37.42458
09018,0.499,0.002,-0.605,0.001,3.897,0.039,1.973,0.004,0.314,0.001,0.254,0.001,0.626,0.001,1.346,0.005,Simbad,NED,211.38792,54.46111
09128,0.668,0.006,-2.004,0.194,10.006,0.459,1.688,0.185,0.169,0.003,0.17,0.003,0.441,0.007,1.414,0.029,Simbad,NED,213.98625,23.0545
09133,0.517,0.003,-1.641,0.042,7.707,0.103,0.632,0.023,0.091,0.005,0.44,0.004,0.469,0.004,1.389,0.014,Simbad,NED,214.03213,35.34372
09211,0.533,0.005,-1.422,0.057,7.184,0.182,0.786,0.2,0.266,0.004,0.329,0.007,0.448,0.006,1.378,0.02,Simbad,NED,215.63375,45.38333
09242,0.646,0.007,-1.246,0.048,7.825,0.482,1.996,0.006,0.24,0.005,0.674,0.004,0.618,0.004,1.414,0.007,Simbad,NED,216.33813,39.53931
09366,0.556,0.004,-1.967,0.316,7.024,0.39,1.936,0.173,0.347,0.012,0.732,0.006,0.843,0.005,1.414,0.015,Simbad,NED,218.19522,49.45781
09431,0.604,0.004,-1.571,0.087,9.187,0.395,1.782,0.29,0.315,0.011,0.735,0.006,0.548,0.006,1.371,0.023,Simbad,NED,219.5481,46.63836
09632,0.605,0.008,-0.883,0.022,20.079,0.578,2.0,0.0,0.199,0.007,0.736,0.003,0.718,0.002,1.414,0.001,Simbad,NED,224.48465,53.78489
